,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequent,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
203,190.0068788,28291.553,251.56088,499.61929,7117048,0.40289263,1031.8369,80.34259293,85.00486858,182.4216714,71.00360801,68.87475823,10.25117517,2.508309851,3.386970345,13.83093955,9.304609505,26.07463217,24.97606512,166.4216714,0.061597598,0.485545639,0.455691884,19.99714166,0.724971208,0.747379342,0.511121145,0.528942224,0.521277675,0.375360416,0.384225576,0.354503899
204,287.933781,34174.393,404.69297,499.69886,13830137,25.323299,731.82605,122.9421357,136.7572602,199.7998934,90.00262295,89.32924501,6.917654372,1.635287086,2.662225845,5.850237589,3.749229205,34.52806303,26.32569557,183.7998934,0.037636879,0.304949234,0.22684572,14.4192606,0.620484645,0.625161957,0.452215089,0.593691389,0.477254746,0.351775732,0.379668674,0.27891619
205,257.910409,31562.2,378.78486,499.64056,11955283,11.71609,795.99015,120.2397721,115.0376148,189.7383523,78.05779166,101.1723314,5.065225151,1.315105908,1.293692747,3.866219159,4.499601531,38.47234054,24.13123316,173.7383523,0.029154329,0.28714328,0.317984929,17.43086473,0.784554077,0.605309355,0.500104525,0.479577568,0.48084004,0.467433888,0.456273303,0.2751922
206,233.5883532,32979.382,320.65007,499.64427,10574841,6.6670686,870.39303,95.63435133,105.7023323,196.3782226,89.74910526,63.26535165,5.146372014,1.050262136,1.572490035,8.343271787,4.011422306,29.57485329,39.54527613,180.3782226,0.028531005,0.454241047,0.396785847,22.18368863,0.541682415,0.768438187,0.470010773,0.494541942,0.5658011,0.382149226,0.357044424,0.477471136
207,271.5543936,36411.559,369.5265,499.66803,13455036,22.159623,781.69913,125.0887093,126.6107984,208.0035439,84.2474559,78.98478599,5.635794106,1.366453984,1.278695823,5.530717291,5.659543353,53.45281244,41.05515267,192.0035439,0.029352553,0.328807106,0.320639979,18.33279687,0.581723499,0.620483099,0.466899859,0.471592155,0.480702598,0.518888702,0.545188443,0.422285171
208,279.1913245,30172.882,424.69063,499.63399,12814140,12.822995,730.19941,121.3617735,130.7436276,185.4018206,101.2749811,93.2295697,5.537921204,1.484219046,1.904001185,3.794198717,2.909724288,32.63051075,26.09765414,169.4018206,0.032691037,0.259374554,0.202120613,17.70406921,0.667854346,0.725488024,0.479125466,0.555405781,0.44062639,0.380972352,0.387641074,0.308674923
209,212.3517847,31879.655,289.99986,499.66349,9245095.6,2.3863732,939.82383,92.74115526,96.27765765,195.7926377,72.15803883,72.15373345,5.465006456,1.18540577,1.569798347,7.902188975,6.050903297,35.29032295,33.64771707,179.7926377,0.030396164,0.468006565,0.447720037,19.79646942,0.679567949,0.679608499,0.479532855,0.506958553,0.547667295,0.433394569,0.448166649,0.415202929
210,284.4567943,36178.773,385.98635,499.66874,13964512,26.462639,751.18157,118.7100118,132.1080564,204.8907914,89.34141908,82.60680118,5.057883746,1.116618048,1.507862868,5.523890991,3.646253456,50.974065,40.06809442,188.8907914,0.026776762,0.35425048,0.281368836,20.24068157,0.580803854,0.62815458,0.46943779,0.510163764,0.529718654,0.415636078,0.545860456,0.414045475
211,189.914285,28910.204,257.04194,499.64407,7431134.9,1.329724,1034.6635,81.10330179,87.77577538,185.8999063,67.12319184,74.24882207,5.62481291,0.944491846,1.543968383,8.212496531,8.327559674,28.80592971,29.23991414,169.8999063,0.033106628,0.506295811,0.465678128,14.36273422,0.781919297,0.70687881,0.378949729,0.620239733,0.556893082,0.557441449,0.419072143,0.391739908
212,232.5706511,29305.695,335.60056,499.64741,9835007.7,2.7914197,857.6808,98.4184796,106.2591734,179.1817014,84.37405702,89.41671025,7.01964468,1.587854543,1.336600436,5.952101521,3.756002648,28.01384609,31.66406777,163.1817014,0.043017352,0.369767012,0.319558312,20.05230417,0.768942339,0.725577855,0.420282632,0.274042318,0.46178705,0.305185559,0.378831382,0.404786503
