,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,299.1451493,27591.64,461.27339,499.63986,12727289,26.850085,678.31801,137.63305,103.3023702,173.2221008,112.8149083,102.204275,3.045618854,0.617711634,1.014171917,2.213170778,2.018204225,25.84086187,20.64158658,157.2221008,0.019371442,0.107301916,0.32997323,23.87904925,0.683308924,0.754248622,0.531648361,0.582251992,0.618507724,0.428093484,0.325293393,0.288784132
1,322.58921,38472.493,399.95207,499.66742,15387153,70.82743,696.47725,145.5627235,142.381594,213.4595076,84.36904652,88.78542651,5.932790383,1.256755904,1.756788301,3.474219036,5.259385116,24.50974634,40.46632802,197.4595076,0.030045605,0.239987373,0.256596698,31.46376295,0.550455029,0.5230742,0.329062049,0.603751981,0.356254609,0.509541961,0.235873365,0.387438911
2,129.654121,18893.092,146.51171,499.61853,2768059.2,1.17E-06,1421.2865,56.93091701,58.98347607,143.6191188,57.57400772,56.78359525,16.02903385,2.790368647,4.498035379,21.28826874,19.00124119,10.31779064,17.9703879,127.6191188,0.125600568,0.489821009,0.471427268,11.68716883,0.875924264,0.888116896,0.400196202,0.587811345,0.565007995,0.52260534,0.220518919,0.374853701
3,212.1173006,34242.948,273.94469,499.63221,9380673.7,1.15E-07,930.2748,88.6676307,98.21534748,209.1962404,52.7123796,65.01116034,9.456623048,1.491749699,2.510282387,19.93124917,15.94032641,45.01429182,55.91299344,193.1962404,0.048948277,0.517427804,0.465464504,15.68660567,0.612973672,0.497011601,0.452924117,0.508272754,0.651715269,0.477736505,0.571425475,0.630814564
4,329.1235475,41208.804,370.62146,499.66407,15272867,1.82E-06,682.9183,135.5964432,151.8055767,219.7025608,82.87541625,77.42870455,6.584329662,2.028896729,1.395516744,5.115623639,6.476938129,20.88849492,47.78802155,203.7025608,0.032323254,0.312106026,0.229875512,25.51239408,0.470514523,0.503612804,0.493030543,0.508608234,0.375007867,0.583284074,0.195482726,0.435476445
5,168.215099,24299.117,212.47179,499.67808,5162876.8,0.037303275,1152.9353,76.84270554,73.61953836,165.4498542,66.93116662,68.61267745,14.6119492,2.39070279,3.846944584,20.33415358,18.40898802,22.29881071,21.5662982,149.4498542,0.097771586,0.430110505,0.454014519,14.52968795,0.815773112,0.795780724,0.462014919,0.59168015,0.645871048,0.5550402,0.363175585,0.36034828
6,292.4728538,38544.599,366.78605,499.66072,14137621,42.461709,748.18244,134.7385943,127.9658084,213.8333595,78.16329869,78.2605978,8.610433486,1.758535598,2.54225178,4.717127146,9.263301007,21.40594888,62.30928381,197.8333595,0.043523668,0.287937264,0.323729893,22.99566509,0.535164866,0.534499511,0.286091817,0.61990616,0.286127402,0.523714246,0.207788874,0.61981032
7,250.0245146,26760.19,382.00421,499.64343,10222505,3.0723533,783.56934,113.8368379,102.6483394,168.8179947,91.31645029,99.88828206,6.841334805,1.639675427,0.994985241,5.176963804,7.239396333,15.55414713,21.1575496,152.8179947,0.044767861,0.220170964,0.296816769,22.35083879,0.799027905,0.730459975,0.534319529,0.439610614,0.551444697,0.669167913,0.211967397,0.294515663
8,328.2435378,34362.692,437.99283,499.64059,15050613,54.045167,669.68141,135.6377278,139.4067489,198.95307,101.0334378,93.81870591,6.145159814,2.083218311,1.231783407,3.416871868,4.732262285,15.50201987,44.78648415,182.95307,0.033588722,0.232852605,0.211535566,49.43003993,0.57164084,0.615600468,0.5323585,0.432072425,0.363208277,0.536078374,0.166176985,0.484485927
9,152.520546,22173.591,187.80342,499.68598,4164276.3,0.007594916,1265.877,70.05308917,68.30742696,156.5845043,64.29750892,65.2775963,13.209619,1.432962984,4.497901892,21.58558503,12.87724287,18.11035231,20.27241959,140.5845043,0.093962127,0.45002432,0.463729237,12.41436767,0.855984299,0.843132425,0.416832059,0.59549578,0.739754297,0.428204151,0.320837793,0.364727185
