,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,shunt_impedance_divide_delta
1067,153.3224805,21708.29,193.37562,499.45089,4197854.1,0.86253683,1259.009,70.15990847,59.29282029,151.3158213,68.99851756,66.26157532,8.047421052,1.823697789,2.575160293,9.73317864,7.297574675,18.4839682,21.01347804,135.3158213,0.059471398,0.448724834,0.534112001,13.00266358,0.864342595,0.900044368,0.508448023,0.515785847,0.554292868,0.379590954,0.328303282,0.429131074,0.735712898
1068,259.6317156,30695.116,387.58446,499.58975,11896950,6.4288399,781.18146,120.2159607,109.9110809,184.7567697,89.01139536,97.40652883,4.925716253,0.993105667,1.479404089,3.926263212,3.031257577,31.91639018,34.00743847,168.7567697,0.029188259,0.266219937,0.329119367,19.19979411,0.750343837,0.685674284,0.416944395,0.459742134,0.516442716,0.346714353,0.384305713,0.417968403,0.250629092
1069,197.6480634,31109.382,268.24412,499.54432,8344908.8,2.4692707,1000.3149,93.21018869,90.63898837,197.6687181,55.68357524,76.64552835,6.060674524,1.06388998,1.993340772,6.758194479,6.930406496,12.06972681,39.50640867,181.6687181,0.033361134,0.469214583,0.483856283,11.22768606,0.775575809,0.563461885,0.312595012,0.499321217,0.438443172,0.341310762,0.154025639,0.487369867,0.474412938
1070,237.2477081,31499.958,340.93351,498.37322,10739391,4.1414487,851.37565,109.9582726,108.8657065,190.5692329,80.23730984,87.96671381,6.161215994,1.30319256,1.953276432,5.759573383,4.194003656,30.67771208,40.31800927,174.5692329,0.035293825,0.34707222,0.353559834,17.33116295,0.741560072,0.676401138,0.424064457,0.482188575,0.501218561,0.342523311,0.368866619,0.477317819,0.324431269
1071,258.1576306,32631.645,372.96787,499.17957,12170555,9.1087107,794.82208,116.1035596,118.3454908,193.4082073,85.09202321,90.97715409,5.662077195,1.25540548,1.713022185,5.275875533,3.718696011,36.47599339,34.76531286,177.4082073,0.031915531,0.323981509,0.310927759,21.46664903,0.704818633,0.659225319,0.464201011,0.475117377,0.522358392,0.363224587,0.42345043,0.393581033,0.233692522
1072,302.0405718,31949.142,444.48335,497.60189,14200862,23.236607,696.11451,134.892865,126.2884992,190.5240965,98.98715914,102.5114773,4.608626039,1.04464971,0.977597979,3.607758669,2.465528428,38.21802785,35.87674944,174.5240965,0.026406818,0.206117815,0.256756911,32.25484182,0.678792764,0.655456044,0.514935475,0.325768349,0.559803681,0.348851658,0.434333251,0.412663989,0.106946826
1073,215.7988376,29842.092,308.48353,499.58346,9205793.6,1.2958766,921.356,99.76428509,99.98837619,184.860921,79.06258531,82.24880847,5.778577866,1.200972543,1.787808565,6.169038207,4.181349817,30.20476485,31.90485279,168.860921,0.034220931,0.388258206,0.386884108,15.82208521,0.762272952,0.732743385,0.437929185,0.474746789,0.525421325,0.348314575,0.386954819,0.404511107,0.420155459
1074,197.407704,28707.633,276.98035,503.57,7951450.1,0.78205134,1000.3466,91.48743198,91.59653248,181.5010484,79.15376183,71.20002969,6.059725237,1.294720718,2.038964041,7.764522135,4.600858237,32.49223082,30.43609315,165.5010484,0.036614422,0.426199995,0.425515728,14.21463899,0.721350061,0.801931842,0.473052067,0.51703067,0.548337306,0.349210813,0.432920961,0.41457871,0.501972656
1075,239.0017057,29536.897,355.89699,496.84771,10512092,2.3114924,836.7702,109.2918685,108.8405434,181.0392112,92.23456152,89.51610008,4.884182083,1.14168579,1.549420992,4.255660872,3.043393398,34.48019086,33.06033995,165.0392112,0.029594071,0.317587034,0.320405085,20.41796871,0.749083358,0.771831827,0.474202462,0.500672671,0.507063536,0.366387548,0.432563073,0.418508618,0.339859128
1076,182.6610937,26668.92,249.51799,499.56734,6654375.4,0.34612842,1071.8278,84.2654125,83.56616837,174.4713556,76.93512795,70.04815636,6.421102059,1.482765794,2.028033675,8.082809334,4.990600998,28.1527503,27.93670667,158.4713556,0.040519008,0.445805511,0.450404281,14.13026873,0.766974017,0.842381115,0.495066513,0.484930809,0.533556081,0.348692901,0.40606463,0.413656514,0.580886565
